2026-04-27 00:53:11,774 | INFO     | processor.indicators |   RSI 14 calculado
2026-04-27 00:53:11,780 | INFO     | processor.indicators |   Bandas de Bollinger (20) calculadas
2026-04-27 00:53:11,786 | INFO     | processor.indicators |   Retorno diário e acumulado calculados
2026-04-27 00:53:11,790 | INFO     | processor.indicators |   Volume médio e razão calculados
2026-04-27 00:53:11,793 | INFO     | processor.indicators |   Sinais de cruzamento e RSI calculados
2026-04-27 00:53:11,794 | INFO     | processor.indicators | Indicadores adicionados: 22 colunas no total
2026-04-27 00:53:11,794 | INFO     | pipeline | [4/4] ARMAZENAMENTO
2026-04-27 00:53:11,859 | INFO     | storage.writer | Dados salvos em Parquet particionado: data/processed/
2026-04-27 00:53:11,874 | INFO     | storage.writer | Resumo salvo em: data/processed/summary.csv
2026-04-27 00:53:11,875 | INFO     | pipeline | ============================================================
2026-04-27 00:53:11,876 | INFO     | pipeline | PIPELINE CONCLUÍDO em 1.3s
2026-04-27 00:53:11,876 | INFO     | pipeline |   Linhas processadas : 5,000
2026-04-27 00:53:11,877 | INFO     | pipeline |   Tickers            : 10
2026-04-27 00:53:11,877 | INFO     | pipeline |   Colunas geradas    : 22
2026-04-27 00:53:11,878 | INFO     | pipeline | ============================================================
